timestamp,sensor,x,y,z
1778964580050,Accelerometer,-1.8550501,-9.502951,0.09705
1778964580058,Accelerometer,-2.11605,-9.748051,0.09195001
1778964580083,Accelerometer,-2.29605,-9.805051,0.16800001
1778964580083,Gyroscope,0.01705,0.0911625,0.0169125
1778964580107,Accelerometer,-2.36295,-9.56595,0.075
1778964580128,Accelerometer,-2.6140501,-9.41205,0.034050003
1778964580149,Accelerometer,-2.4750001,-9.585,0.15195
1778964580161,Accelerometer,-2.20005,-9.70905,0.19995001
1778964580161,Gyroscope,0.00605,-0.0334125,-0.0441375
1778964580186,Accelerometer,-1.9939501,-9.65205,0.16800001
1778964580205,Accelerometer,-2.21895,-9.633,0.06795
1778964580225,Accelerometer,-2.3389502,-9.658951,0.279
1778964580239,Accelerometer,-1.9270501,-9.67605,0.14895001
1778964580240,Gyroscope,0.0012375,-0.0408375,-0.02695
1778964580263,Accelerometer,-2.2069502,-9.592051,0.20700002
1778964580282,Accelerometer,-2.11395,-9.609,0.09705
1778964580299,Accelerometer,-2.1349502,-9.604051,0.12105001
1778964580317,Accelerometer,-2.4150002,-9.561001,0.171
1778964580317,Gyroscope,-0.0268125,0.0411125,-0.0061875
1778964580341,Accelerometer,-2.6590502,-9.42,0.26700002
1778964580360,Accelerometer,-2.5830002,-9.585,0.38205
1778964580379,Accelerometer,-2.427,-9.573001,0.35505003
1778964580399,Accelerometer,-2.5159502,-9.58695,0.33600003
1778964580399,Gyroscope,-0.14533749,-0.2314125,-0.1639
1778964580419,Accelerometer,-2.6809502,-9.858001,0.09705
1778964580438,Accelerometer,-2.322,-9.778951,0.01995
1778964580457,Accelerometer,-1.491,-9.673051,0.08205
1778964580473,Accelerometer,-2.18805,-10.083,0.13305001
1778964580473,Gyroscope,-0.19305,-0.070125,-0.360525
1778964580496,Accelerometer,-2.1060002,-9.918,0.058050003
1778964580516,Accelerometer,-1.6990501,-9.352051,-0.058050003
1778964580535,Accelerometer,-1.4599501,-9.07995,0.147
1778964580554,Accelerometer,-1.6540501,-9.633,-0.25395
1778964580554,Gyroscope,-0.18933749,0.0996875,-0.275
1778964580574,Accelerometer,-2.2480502,-10.389001,-0.50805
1778964580594,Accelerometer,-1.848,-10.16895,-0.62505
1778964580613,Accelerometer,-1.67295,-9.45495,-0.669
1778964580633,Accelerometer,-1.6369501,-9.325951,-0.00795
1778964580633,Gyroscope,-0.1442375,-0.3119875,-0.352
1778964580652,Accelerometer,-0.68700004,-10.255051,-0.36195
1778964580671,Accelerometer,-0.59595,-9.858001,-0.52695
1778964580690,Accelerometer,-1.3120501,-9.927,-0.26595002
1778964580708,Accelerometer,-0.85395,-9.642,-0.57000005
1778964580708,Gyroscope,-0.096525,-0.1714625,-0.086899996
1778964580730,Accelerometer,-1.47405,-9.460051,-0.20895001
1778964580749,Accelerometer,-1.18005,-9.70695,-0.043950003
1778964580768,Accelerometer,0.06705,-10.96605,-0.453
1778964580784,Accelerometer,-0.35595003,-10.450951,-0.77205
1778964580784,Gyroscope,0.013475,0.062975,0.058575
1778964580807,Accelerometer,-1.6369501,-9.22095,-0.441
1778964580828,Accelerometer,-2.0350502,-8.731951,-0.53895
1778964580846,Accelerometer,-2.46105,-10.368,-0.34305
1778964580863,Accelerometer,-0.95205003,-10.552051,-0.62100005
1778964580864,Gyroscope,0.0367125,-0.147125,0.0193875
1778964580885,Accelerometer,0.32505003,-9.97305,-0.513
1778964580904,Accelerometer,-0.49500003,-9.691951,-1.13505
1778964580924,Accelerometer,-2.0299501,-9.360001,0.01305
1778964580942,Accelerometer,-1.812,-9.36705,-0.52305
1778964580942,Gyroscope,0.1038125,0.1082125,0.2369125
1778964580963,Accelerometer,-1.8529501,-10.01805,0.03195
1778964580984,Accelerometer,-2.4060001,-10.111051,-0.32595003
1778964581002,Accelerometer,-1.02705,-9.606001,-0.61095005
1778964581016,Accelerometer,-0.30105,-10.39395,-0.321
1778964581016,Gyroscope,0.061049998,-0.3267,0.3040125
1778964581041,Accelerometer,-0.21495001,-10.609051,0.147
1778964581060,Accelerometer,-0.50205004,-10.51395,-0.64500004
1778964581080,Accelerometer,-1.01205,-10.34895,-0.69705003
1778964581100,Accelerometer,-1.9009501,-10.552051,-0.786
1778964581100,Gyroscope,0.0427625,-0.1276,0.7756375
1778964581118,Accelerometer,-1.8430501,-10.97595,-0.73095006
1778964581138,Accelerometer,-1.0890001,-11.221951,-0.25395
1778964581157,Accelerometer,-0.61995006,-11.356951,0.10095
1778964581175,Accelerometer,-0.83505005,-10.51095,-0.77205
1778964581175,Gyroscope,-0.18205,-0.0994125,1.0162625
1778964581196,Accelerometer,-2.559,-9.004951,-2.1409502
1778964581215,Accelerometer,-3.933,-7.68795,-2.50005
1778964581235,Accelerometer,-3.7060502,-7.38,-0.80295
1778964581249,Accelerometer,-0.97905004,-7.116,-1.4250001
1778964581250,Gyroscope,-0.5069625,-0.5465625,-0.1577125
1778964581273,Accelerometer,-0.20295002,-6.7380004,-1.69305
1778964581293,Accelerometer,-1.3950001,-7.0990505,-0.94200003
1778964581313,Accelerometer,-4.33995,-7.9110003,-0.04095
1778964581332,Accelerometer,-5.3200502,-8.93295,1.011
1778964581332,Gyroscope,-0.62425,-1.15005,-0.6208125
1778964581346,Accelerometer,-4.362,-8.802,1.2390001
1778964581371,Accelerometer,-4.11,-8.491051,1.12905
1778964581390,Accelerometer,-4.3450503,-8.541,0.69495004
1778964581406,Accelerometer,-4.64895,-8.536051,0.112950005
1778964581407,Gyroscope,-0.4263875,0.194975,0.0121
1778964581422,Accelerometer,-5.5609503,-7.93695,-2.184
1778964581449,Accelerometer,-5.04405,-9.75,0.40305
1778964581468,Accelerometer,-1.5370501,-9.084001,-0.46005002
1778964581483,Accelerometer,-2.32005,-9.304951,-0.384
1778964581483,Gyroscope,-0.1918125,-0.0408375,-0.1381875
1778964581502,Accelerometer,0.46905002,-12.59895,2.433
1778964581526,Accelerometer,0.11895001,-14.610001,0.41700003
1778964581546,Accelerometer,-1.7070001,-9.108001,-2.39205
1778964581565,Accelerometer,-5.47305,-7.6840506,-1.50195
1778964581566,Gyroscope,-0.24805,1.1968,0.38225
1778964581582,Accelerometer,-6.2920504,-9.063001,-2.163
1778964581604,Accelerometer,-4.11,-9.87195,-2.5099502
1778964581627,Accelerometer,-2.9230502,-9.592051,-1.8780001
1778964581647,Accelerometer,-1.47405,-9.609,-1.0639501
1778964581647,Gyroscope,-0.187,-0.0248875,-0.0759
1778964581664,Accelerometer,-1.1730001,-9.834001,-1.6140001
1778964581681,Accelerometer,-1.3759501,-10.056001,-1.983
1778964581701,Accelerometer,-2.181,-9.790951,-1.6810501
1778964581715,Accelerometer,-2.94405,-9.439051,-2.433
1778964581716,Gyroscope,-0.1502875,0.2732125,0.401775
1778964581740,Accelerometer,-3.864,-8.92905,-2.232
1778964581760,Accelerometer,-4.00005,-8.85,-1.9660501
1778964581778,Accelerometer,-3.2389503,-9.348001,-2.0640001
1778964581795,Accelerometer,-2.1760502,-9.87705,-1.9950001
1778964581795,Gyroscope,-0.1172875,-0.0688875,0.3114375
1778964581817,Accelerometer,-1.5460501,-9.670951,-1.899
1778964581837,Accelerometer,-0.85695004,-10.03005,-2.0719502
1778964581860,Accelerometer,-2.2450502,-9.451051,-2.5240502
1778964581878,Accelerometer,-3.4999502,-8.25105,-1.96395
1778964581878,Gyroscope,-0.0537625,0.043449998,0.9944
1778964581897,Accelerometer,-4.2520504,-8.98095,-1.44
1778964581915,Accelerometer,-2.7889502,-9.99195,-2.11995
1778964581934,Accelerometer,-1.1370001,-10.894051,-2.7799501
1778964581949,Accelerometer,-3.52905,-7.2259502,-2.73495
1778964581949,Gyroscope,-0.02805,-0.1079375,1.44265
1778964581973,Accelerometer,-5.58795,-6.9289503,-2.3370001
1778964581983,Accelerometer,-6.0259504,-9.70005,-1.72695
1778964582012,Accelerometer,-2.427,-12.252001,-2.9220002
1778964582027,Accelerometer,-4.00005,-10.071,-2.421
1778964582027,Gyroscope,0.0232375,-0.3829375,1.798225
1778964582051,Accelerometer,-4.5919504,-6.6610503,-2.388
1778964582063,Accelerometer,-9.391951,-3.62505,-0.36705002
1778964582090,Accelerometer,-6.162,-6.6570005,-1.99995
1778964582109,Accelerometer,-5.34105,-11.116951,-2.7280502
1778964582109,Gyroscope,-0.068475,-0.6626125,1.2277375
1778964582131,Accelerometer,-6.14295,-8.698951,-2.53095
1778964582143,Accelerometer,-6.4900503,-6.9799504,-1.8030001
1778964582167,Accelerometer,-8.190001,-7.8300004,-2.12205
1778964582182,Accelerometer,-5.964,-8.361,-1.5280501
1778964582182,Gyroscope,0.0598125,-0.78113747,1.4744124
1778964582206,Accelerometer,-6.28905,-7.9759502,-2.25105
1778964582226,Accelerometer,-6.76095,-6.7710004,-1.9660501
1778964582245,Accelerometer,-7.2850504,-10.80105,-2.562
1778964582260,Accelerometer,-7.5919504,-14.170051,-2.835
1778964582261,Gyroscope,0.3884375,-0.64556247,1.55265
1778964582279,Accelerometer,-5.6740503,-17.055,-2.94105
1778964582304,Accelerometer,-4.83405,-12.760051,-1.9039501
1778964582325,Accelerometer,-5.841,-7.83195,-1.2409501
1778964582343,Accelerometer,-7.4290504,-3.46005,-0.38595003
1778964582343,Gyroscope,0.6169625,-0.1703625,1.0822625
1778964582362,Accelerometer,-4.8019505,0.54,2.9980502
1778964582381,Accelerometer,9.736951,5.70405,4.57905
1778964582400,Accelerometer,14.7630005,8.989051,-3.22305
1778964582415,Accelerometer,8.21205,1.9210501,-4.78905
1778964582415,Gyroscope,0.2101,1.2005125,-2.6805625
1778964582440,Accelerometer,3.14295,-7.293,-3.5299501
1778964582461,Accelerometer,-7.5319505,-16.95705,3.11595
1778964582478,Accelerometer,-5.91795,-6.3640504,-1.88205
1778964582492,Accelerometer,-5.2930503,-4.58505,-2.26305
1778964582492,Gyroscope,0.5314375,0.3928375,-4.6426873
1778964582517,Accelerometer,-5.4679503,-8.526,-3.456
1778964582540,Accelerometer,-6.14295,-14.412001,-2.1340501
