peak_number,timestamp_ms,timestamp_utc,sources
1,1778964581293,2026-05-16T20:49:41.293000+00:00,sensor_data_20260516_225339.csv;sensor_data_20260516_225343.csv
2,1778964582503,2026-05-16T20:49:42.503000+00:00,sensor_data_20260516_225343.csv
3,1778964583562,2026-05-16T20:49:43.562000+00:00,sensor_data_20260516_225343.csv
4,1778964585821,2026-05-16T20:49:45.821000+00:00,sensor_data_20260516_225339.csv
5,1778964586065,2026-05-16T20:49:46.065000+00:00,sensor_data_20260516_225343.csv
6,1778964586476,2026-05-16T20:49:46.476000+00:00,sensor_data_20260516_225343.csv
7,1778964587180,2026-05-16T20:49:47.180000+00:00,sensor_data_20260516_225339.csv
8,1778964587401,2026-05-16T20:49:47.401000+00:00,sensor_data_20260516_225343.csv
9,1778964587866,2026-05-16T20:49:47.866000+00:00,sensor_data_20260516_225343.csv
10,1778964588500,2026-05-16T20:49:48.500000+00:00,sensor_data_20260516_225339.csv
11,1778964588725,2026-05-16T20:49:48.725000+00:00,sensor_data_20260516_225343.csv
12,1778964589843,2026-05-16T20:49:49.843000+00:00,sensor_data_20260516_225339.csv
13,1778964589987,2026-05-16T20:49:49.987000+00:00,sensor_data_20260516_225343.csv
14,1778964590462,2026-05-16T20:49:50.462000+00:00,sensor_data_20260516_225343.csv
15,1778964591163,2026-05-16T20:49:51.163000+00:00,sensor_data_20260516_225339.csv
16,1778964591362,2026-05-16T20:49:51.362000+00:00,sensor_data_20260516_225343.csv
17,1778964591741,2026-05-16T20:49:51.741000+00:00,sensor_data_20260516_225343.csv
18,1778964592440,2026-05-16T20:49:52.440000+00:00,sensor_data_20260516_225339.csv
19,1778964592579,2026-05-16T20:49:52.579000+00:00,sensor_data_20260516_225343.csv
20,1778964593669,2026-05-16T20:49:53.669000+00:00,sensor_data_20260516_225339.csv
21,1778964593902,2026-05-16T20:49:53.902000+00:00,sensor_data_20260516_225343.csv
22,1778964595032,2026-05-16T20:49:55.032000+00:00,sensor_data_20260516_225339.csv
23,1778964596389,2026-05-16T20:49:56.389000+00:00,sensor_data_20260516_225339.csv
24,1778964596577,2026-05-16T20:49:56.577000+00:00,sensor_data_20260516_225343.csv
25,1778964596992,2026-05-16T20:49:56.992000+00:00,sensor_data_20260516_225343.csv
26,1778964597647,2026-05-16T20:49:57.647000+00:00,sensor_data_20260516_225339.csv
27,1778964597837,2026-05-16T20:49:57.837000+00:00,sensor_data_20260516_225343.csv
28,1778964598974,2026-05-16T20:49:58.974000+00:00,sensor_data_20260516_225339.csv
29,1778964599140,2026-05-16T20:49:59.140000+00:00,sensor_data_20260516_225343.csv
30,1778964599600,2026-05-16T20:49:59.600000+00:00,sensor_data_20260516_225343.csv
31,1778964600274,2026-05-16T20:50:00.274000+00:00,sensor_data_20260516_225339.csv
32,1778964600805,2026-05-16T20:50:00.805000+00:00,sensor_data_20260516_225343.csv
33,1778964601455,2026-05-16T20:50:01.455000+00:00,sensor_data_20260516_225339.csv
34,1778964602743,2026-05-16T20:50:02.743000+00:00,sensor_data_20260516_225339.csv
35,1778964602900,2026-05-16T20:50:02.900000+00:00,sensor_data_20260516_225343.csv
36,1778964603358,2026-05-16T20:50:03.358000+00:00,sensor_data_20260516_225343.csv
37,1778964604004,2026-05-16T20:50:04.004000+00:00,sensor_data_20260516_225339.csv
38,1778964604180,2026-05-16T20:50:04.180000+00:00,sensor_data_20260516_225343.csv
39,1778964605248,2026-05-16T20:50:05.248000+00:00,sensor_data_20260516_225339.csv
40,1778964605413,2026-05-16T20:50:05.413000+00:00,sensor_data_20260516_225343.csv
41,1778964606426,2026-05-16T20:50:06.426000+00:00,sensor_data_20260516_225339.csv
42,1778964607696,2026-05-16T20:50:07.696000+00:00,sensor_data_20260516_225339.csv
43,1778964608883,2026-05-16T20:50:08.883000+00:00,sensor_data_20260516_225339.csv
44,1778964610105,2026-05-16T20:50:10.105000+00:00,sensor_data_20260516_225339.csv
45,1778964611246,2026-05-16T20:50:11.246000+00:00,sensor_data_20260516_225339.csv
46,1778964611369,2026-05-16T20:50:11.369000+00:00,sensor_data_20260516_225343.csv
47,1778964612456,2026-05-16T20:50:12.456000+00:00,sensor_data_20260516_225339.csv
48,1778964613602,2026-05-16T20:50:13.602000+00:00,sensor_data_20260516_225339.csv
49,1778964613731,2026-05-16T20:50:13.731000+00:00,sensor_data_20260516_225343.csv
50,1778964614788,2026-05-16T20:50:14.788000+00:00,sensor_data_20260516_225339.csv
51,1778964614948,2026-05-16T20:50:14.948000+00:00,sensor_data_20260516_225343.csv
52,1778964615958,2026-05-16T20:50:15.958000+00:00,sensor_data_20260516_225339.csv
53,1778964617177,2026-05-16T20:50:17.177000+00:00,sensor_data_20260516_225339.csv
54,1778964618362,2026-05-16T20:50:18.362000+00:00,sensor_data_20260516_225339.csv
